topic,sentiment,text
p,-,"""the vaccine waned for everyone and not just older people"". ""Will the third dose last longer?"" ""Mizrahi said it was difficult to tell at this stage.""  Israel started giving 3rd shots in July. They don't know how long the protection will last. https://t.co/c9QVRsMig1"
i,+,"""The most effective way to protect vulnerable people is through vaccination — not only of them but also of others who might infect them... a mild Covid case in a child can turn into a deadly case for an elderly grandparent."" https://t.co/TtYOF0k4AJ"
p,+,Vaccines will let kids be kids again! Children in Canada account for 20-30% of all new COVID cases causing them to miss out on so much.  This Pfizer COVID vaccine for the 5-11s will ↓ school closures and ↑ the #  of extracurriculars kids need for healthy development. https://t.co/tqD1L4NNb3
i,+,"USA is accepting mixed doses correct?  AZ first, Moderna second?"
p,0,Cloverdale Mall in Toronto [Toronto health unit] 180 2nd dose Pfizer or Moderna spots added First available date is 2021-11-23 Book at https://t.co/m7DvqKptvh See https://t.co/egCHzJUDZI for detailed availability #COVID19Vaccine #vhcON
p,0,"Mitchell Field Community Centre, East Bldg, CC Main entrance in Toronto [Toronto health unit] 351 1st dose Pfizer or Moderna spots added First available date is 2021-11-23 Book at https://t.co/m7DvqKptvh See https://t.co/egCHzJUDZI for detailed availability #COVID19Vaccine #vhcON"
i,-,"@captainpip74 @RebelNewsOnline Widespread vaccination, means fewer will become infected. This will limit the spread through communities and prevent mutations from happening. It worked for small pox, measles, whooping cough, typhoid. People are extremely negligent not getting their kids vaccinated"
p,0,"It’s disheartening the supports available for long covid are exactly what I needed after a 3 wk hospitalization from DM 3 yrs ago, and much of what they are using I discovered on my own because I was determined to beat my diagnosis.  #thankful #patience #getwellsoon"
i,-,A plane carrying the first batch of Pfizer's pediatric COVID-19 vaccine has landed in Canada.
c,0,"@nfm_1987 @nationalpost You need to check your sources. 26% of current #covid19 cases are breakthroughs, and these were not severe. The unvaccinated are the majority and end up in hospital, taking up ICU beds. https://t.co/k3atvd8n27 https://t.co/opQI4nbIVl"
i,0,"“It is going better for Quebec for three reasons. 1. We have a high vaccination rate. 2. A lot of people signed up for the vaccination pass quickly. 3. We waited 8 weeks between doses which according to our research worked out well,” says Premier François Legault."
g,-,@Transport_gc BTW: The PCR tests are fully fraudulent and are a money-laundering operation of Bill Gates and George Soros. There is no COVID-19 virus either. You should give Health Canada a telephone call on that one.
g,0,@338Canada Does this strike you as surprisingly low?  20% PPC makes me question whether I'm interpreting the question correctly. Could be some resistance to the vaccination requirement in some people's minds?
p,0,"@s_guilbeault Equitable Canada you say. As an MP you have access to a doctor 24/7, mine is retiring so I'm back on a wait list. During the hight of covid you and your family had access to private testing, no waiting. You have a lucrative pension, inflation is through the roof. #zeroleadership"
g,-,Attention Parents: Health Canada has approved Pfizer's COVID-19 vaccine for kids aged 5-11 and NACI is recommending 2 doses separated by an 8 week interval. Please consider getting your kiddos vaccinated... more at https://t.co/AVarafiFjZ https://t.co/DhRfHVOkoY
i,0,"""Prolonged schooling disruptions, social isolation, and reduced access to academic and extra-curricular resources have had a profound impact on the mental and physical well-being of children."" Statement from Council of Chief MOHs on #COVID19 vaccine   https://t.co/zs2ZUXeYva https://t.co/GWjyILMQty"
i,-,@gtlem @CandiceBergenMP Another person's cholesterol count is really not going to make a difference to public health. Their COVID vaccination status will.
p,0,"Hm. Saturday night, my husband and I couldn’t enter the outdoor All is Bright festival until someone scanned our vaccine QR codes. Yet yesterday, I flew to Ottawa, via Montreal, and no one asked for proof of vaccination for either flight. Which leaves me perplexed."
i,-,"Read this article about the early perception, behavior, and knowledge of COVID-19 in Palestine, as well as its preventive practices and information accessibility, by Basma Salim Salameh, Sami Basha, Jihad Abdallah and Walid Basha  @aaup_edu   https://t.co/pI2E3K5X1d"
i,-,"USA is accepting mixed doses correct?  AZ first, Moderna second?"
p,0,Q: Why wait until Friday to vaccination if doses are here now? Copping says they need to be distributed across 120 sites and then they can start administering them. BC is not starting until Monday.
p,0,".@WDGPublicHealth confirms it has received 17,100 doses of Pfizer's pediatric COVID-19 vaccine. Officials in WDG will start vaccinating kids between 5 and 11 this Thursday."
i,-,@338Canada Does this strike you as surprisingly low?  20% PPC makes me question whether I'm interpreting the question correctly. Could be some resistance to the vaccination requirement in some people's minds?
c,0,"How has history been shaped by infectious disease? From trade blankets, to the 1950s polio epidemic, to COVID-19, pandemics leave lasting impacts through generations.  Join our guided People and Plagues tour, starting this Thursday. Save your spot:  https://t.co/wYozNu3Ayi https://t.co/PJBNLE27jS"
i,0,"Health Canada approved the Pfizer COVID-19 Vaccine for children between the ages of 5 and 11 on Friday, and the province said starting Monday at 6:00 a.m., parents can book appointments for their kids to get the shot.  https://t.co/OOlhsUbO48"
g,-,"Daycare called. Shredder has been sent home w/ a fever. Monitor for 24hrs, if no more fever, she can go back on Thursday. Otherwise, there’s a covid test in her future. 🙁 #MomLife #WorkingMom"
g,0,I'm in my mid-40s. I had a full vaccination schedule as a child. I was pregnant when I was 38 and had all of the recommended vaccinations and boosters during pregnancy. I was vaxxed for meningitis in my mid 20s. Flu shots yearly + COVID x 2. What else do I need?
p,0,I don't know who needs to hear this but Pfizer is not a charity.
g,-,@MsBehavior @WabKinew @Mayor_Bowman @JustinTrudeau @CPHO_Canada @roussin_brent Conspiracy theories that just happen to be coming true. Experts that are bought and paid for by Pfizer. I'll keep my immune system. It hasn't failed me in 21 months. Enjoy your cold/flu vaxx.   Try doing some research on the information super highway. Instead of listening to MSM https://t.co/dPIGMF8ZTl
i,0,"Hinshaw says the Pfizer vaccine is now being recommended for those 12-29 over Moderna due to a risk of myocarditis, though she is clear the risk is very low."
i,-,"A spokesperson with @ROWPublicHealth says more than 8,000 vaccination appointments were booked through the local system between 8 a.m. and 3 p.m. today --- but this includes appointments for third doses."
p,-,"@nicnac_14 Lots of red flags; adverse reactions hidden, treatments &amp; protocols ignored, scientists and doctors silenced, its experimental, Pfizer has immunity and secret contracts with governments... and so on..."
c,-,New recommendation: 12 to 29 year olds are recommended to get Pfizer over Moderna.
i,-,@ConcebollismoI @Brogeta15 @YJM_YJM That supra-national organisation can’t even coordinate its COVID measures. Don’t make me laugh.
i,-,ICYMI: @GovCanHealth has authorized the use of the Pfizer-BioNTech Comirnaty #COVID19 vaccine in children ages 5 to 11: https://t.co/0kA0dI039P.   Visit https://t.co/3iKdIP4Gt1 to learn more about the next phase of Manitoba's vaccine campaign. #ProtectMB #COVID19MB #Manitoba https://t.co/JZopG8rek2
i,-,@thamemeweaver Canada's inflation rate is higher than yours &amp; we have sales &amp; provincial taxes on most items we buy. The only ppl screaming the sky is falling also weaponize everything under the sun against the PM &amp; oppose common-sense covid measures....go figure.
p,0,"24h post-booster (Moderna, original double vax was Pfizer) and I feel pretty fucking awful. Shivers not abated by naps. FYI for all you anecdata nerds.  (Totes worth it, to be clear)"
i,-,When do Citizens Resist AI-Usage in Public Policy? Evidence from the COVID-19 Crisis @SSRN https://t.co/lyUEhgaA5N
i,-,A YEAR AGO in @TheExpositor headlines Opinion: Restriction on individual liberty justified by present public health risk BAC hosts first meet since lockdown US hospitalizations up nearly 50%; systems strain under alarming infection rise Pfizer applies for vaccine emergency use
p,0,Conservatives say all MPs should vote on vaccination mandate to enter House https://t.co/fKFsj6HyBF via @cp24
p,0,"My 9 year old is booked for his #vaccination this Saturday.  Honestly didn't think we would ever be here! But I #believeinscience, #GetVaccinated, #doingmypart, #endthepandemic https://t.co/SWZ31fZrTa"
i,-,"When I booked my first vaccination, I didn't feel that euphoria others talked about. It just felt like another thing on the to-do list.   BUT  Today, I booked the big kid for her first, and I gotta tell ya, I. am. stoked. https://t.co/3nHFNiRFSR"
c,0,The Premier adding parents will be able to book COVID-19 vaccine appointments for their children (aged 5-11) starting tomorrow. Unvaccinated kids will not be subject to the restrictions exemption program.
i,0,"Question time.  @turnerrAbigail asks Dr. Reimer if there's any data regarding kids aged 0-5 being vaccinated.  She says @pfizer is running a study right now among kids aged as young as 6 months, but the data isn't available/hasn't been submitted yet."
g,-,"@DanRather @Sarahghalin I'm eligible for my third Pfizer on December 20th and while some might think it's not possible to be excited about getting a needle, there it is marked down on the calendar!  I'm heading to Gran Canaria, Canary Islands, in February and will be triple vaxxed! #Pumped #TravelSafe https://t.co/7CQM6iT2Lw"
g,0,"ICYMI: The provincial booking portal has opened a few minutes early for the 5 to 11-year old bookings. Visit https://t.co/hKF4javLTy or call 1-833-943-3900 to book an appointment.   For the latest information on vaccines for children, visit https://t.co/YvXnyLul8g. https://t.co/Z6zUplyZ4w"
p,0,Vaccination appointments for my littles next week ✅ #VaccinesWork
g,-,"@FourWinns298 or at least, maybe Pfizer and Moderna figured it would be 3 doses - but that was not communicated to the population at large initially"
i,0,"Mitchell Field Community Centre, East Bldg, CC Main entrance in Toronto [Toronto health unit] 282 1st dose Pfizer or Moderna spots added First available date is 2021-11-25 Book at https://t.co/m7DvqKptvh See https://t.co/egCHzJUDZI for detailed availability #COVID19Vaccine #vhcON"
i,-,"Gray says North Zone had 45,000 cases of Covid. 20 per cent of those diagnosed will have long-term symptoms. Approximately 9,000 cases. Will you commit to supporting those patients?"
p,0,@candischach @GovCanHealth The first doses of the pediatric version of the Pfizer vaccine are expected to be available in Manitoba as early as one week after the vaccine is approved. https://t.co/CNeSTsaXut
i,-,@MikeGrant262 @BallouxFrancois It’s still now raging in Europe because of low vaccination rates in some countries and loosening of all restrictions. Austria is in lockdown and we aren’t of the woods just yet. You think you can just wish this virus away?
i,-,@MamaWeasleyy maybe moderna will race ahead with their submission 🤞🏼
p,0,"@bernardsimon @TorontoPearson @Billius27 Did the airline--at time of check-in or boarding--verify vaccination status and Covid19 PCR result? When I flew in August, 2 passengers were denied boarding by AC gate agents on a flight from Denver to Montréal."
p,0,"@crowmogh I’d had Pfizer for my two jabs, but when I went in today they’d just run out so I got Moderna. ‘Same thing’ apparently. Still, I don’t know what’s in my KFC so I’m not complaining. A ‘blend’ of vaccines is ‘more effective’. Apparently!"
i,-,Cloverdale Mall in Toronto [Toronto health unit] 329 2nd dose Pfizer or Moderna spots added First available date is 2021-11-23 Book at https://t.co/m7DvqKptvh See https://t.co/egCHzJUDZI for detailed availability #COVID19Vaccine #vhcON
c,0,"“Already, the Government has mandated vaccination for federal and federally-regulated workers, and for everyone travelling within Canada by plane (...).  It has also ensured a standardized Canadian proof of vaccination for domestic and international use.” https://t.co/mq4sHHS4NM"
i,0,"Local COVID-19 Vaccine Status Report – Leeds, Grenville &amp; Lanark District Health Unit - November 23, 2021  Vaccination of Children Ages 5 to 11 – starting Friday, November 26th  https://t.co/nvHD1GR5x6"
g,-,"BREAKING:   Alberta announces that children aged 5-11 will be eligible for vaccines in Alberta- first doses can be booked as of 8AM Wednesday.   This, as the Pfizer supply arrived in Alberta today  #yeg #yyc #ableg #covid19ab https://t.co/FQNt43IPdD"
g,0,Cloverdale Mall in Toronto [Toronto health unit] 385 1st dose Pfizer or Moderna spots added First available date is 2021-11-23 Book at https://t.co/m7DvqKptvh See https://t.co/egCHzJUDZI for detailed availability #COVID19Vaccine #vhcON
p,0,"@sumo_suzy @julielajoie13 Enough kids from my kid's grade 6 class opted for covid shots over grade 6 vaccines. So, the school re-scheduled the regular shots."
g,-,A YEAR AGO in @TheExpositor headlines Opinion: Restriction on individual liberty justified by present public health risk BAC hosts first meet since lockdown US hospitalizations up nearly 50%; systems strain under alarming infection rise Pfizer applies for vaccine emergency use
i,0,"@JerryLane1977 @barbcraig7 @DrTessaT Correct. They did that for a reason. In the US, the EUA jab has total indemnification. They are liable once they receive approval. However, Comirnaty and the EUA jab are deemed interchangeable. So Pfizer continues to produce the EUA and not Comirnaty."
i,-,"@usykM @AcidReign10 @ctvedmonton With the benefit of hindsight I would have waited for the Pfizer, as it ended up only being a few weeks before it was available and was the safer option. And of course, AZ is no longer used in Canada because we have safer options."
p,-,"@PW73362441 @francesca6365 Probably hard to suffer this in silence but, just in case, Sick Kids has come out with a pamphlet to help doctors recognize the signs of it in children.  https://t.co/FSNNJ4w3Ek"
i,0,"@TheRisingFinix @RyanGib64701748 @rakitoon @WhyTheFuckNutz @deb_morris12 @TorontoStar Again, nobody forces the vaccines on the masses. There were and are vaccines available to the public that are not mRNA based. Only Moderna and Pfizer are mRNA. AstraZeneca, J&amp;J and others use different technologies. However mRNA has been shown to be the most effective and safe."
i,-,"Among the 10 COVID-19 related deaths announced today, one of them was a child under the age of 2, Dr. Hinshaw announces. While the child had complex medical conditions, COVID was a contributing cause in their death, Hinshaw says."
i,-,"Woodbine Mall, Inside Hudson's Bay, Second level in Toronto [Toronto health unit] 335 1st dose Pfizer or Moderna spots added First available date is 2021-11-23 Book at https://t.co/m7DvqKptvh See https://t.co/egCHzJUDZI for detailed availability #COVID19Vaccine #vhcON"
p,0,Parents: Covid vaccine appointment bookings open tomorrow!  https://t.co/mVJGdYuSDK https://t.co/tzwsk9V0Sa
p,0,ICYMI: @GovCanHealth has authorized the use of the Pfizer-BioNTech Comirnaty #COVID19 vaccine in children ages 5 to 11: https://t.co/hwQRgT6Ney.   Visit https://t.co/Ns2lAKwZXQ to learn more about the next phase of Manitoba's vaccine campaign. #ProtectMB #COVID19MB #Manitoba https://t.co/VD3noFyw1Q
i,-,"Happy to be vaccinated. Happy to show proof of vaccination. But I'm currently affiliated with 3 post-secondary institutions, so I've had to submit proof 3 times 🤦‍♀️. Two never even sent instructions (then emailed me asking why I hadn't). I swear I am vaccinated! https://t.co/tZmBPjTtlH"
c,0,"Metro Toronto Convention Centre, N Bldg at Front &amp; John in Toronto [Toronto health unit] 181 1st dose Pfizer or Moderna spots added First available date is 2021-11-23 Book at https://t.co/m7DvqKptvh See https://t.co/egCHzJUDZI for detailed availability #COVID19Vaccine #vhcON"
i,0,Health Canada has approved the use of the Pfizer-BioNTech COVID-19 vaccine for children aged 5-11. Here are some tips provided by the HKPR health unit on how to prepare your child for the vaccine. https://t.co/9P3mlkHTkh
g,-,"Coming up at 11 ET,  Vaccine Lead and General Manager at Pfizer Canada on the vaccine being approved for kids 5 and up. Then, Minister of Emergency Preparedness @BillBlair. Plus, Nunavut's next Premier on his government's priorities. Watch Rosemary Barton Live on CBCNN."
g,0,Manitoba's COVID-19 numbers for November 23 with test positivity rates and hospitalizations rising. https://t.co/XIWV26y2jY
p,0,"Local COVID-19 Vaccine Status Report – Leeds, Grenville &amp; Lanark District Health Unit - November 23, 2021  Vaccination of Children Ages 5 to 11 – starting Friday, November 26th  https://t.co/nvHD1GR5x6"
g,-,Booking for Covid vaccines for ages five to 11 opens at 8 a.m. tomorrow.
i,0,@jnickersonwpg @bkives @pfizer @MBGov Hey Jeremy-- are you up for doing an interview with me about this? If you follow me back I can DM you
i,-,"Globe editorial: Protecting parents from misinformation, while they protect their kids from COVID-19 /via @globeandmail https://t.co/9LKefF5NOL"
p,-,"COVID-19 live updates: Kenney, Copping and Hinshaw to provide Tuesday afternoon update; Alberta's vaccine plans for kids 5 to 11 expected today; 1,125 new cases since Friday  #yeg  https://t.co/DL92XlNza2"
c,-,✅Astra ✅Zeneca ✅Flu  And I have now added the awesome power of   ✅Pfizer  Halton clinic - at the Oakville Y -  really well organized. Thank you science. https://t.co/noVheJgFVI
i,-,STORY: Thousands of vaccination appointments booked for local kids as young as five https://t.co/ck8wgck3TE https://t.co/lhUAHpjLCO
i,-,"@cubsncards @ne0liberal From another post on this, apparently Slovakia is very vigilant with masks, distancing, and restrictions during surges. Vaccination normally correlates tightly with a government willing to pursue those measures, but Slovakia is just a laggard on vaccines."
i,-,"@MBittencourtMD Final de Novembro Canada 🇨🇦 seguindo também! 👇 Starting November 30 2021, 03:01 AM EST, the following COVID-19 vaccines authorized by the World Health Organization (WHO) will be accepted by the Government of Canada for travel: • Sinovac (CoronaVac)"
p,0,The EVs are complicated. Why are we treating them like aspirin? https://t.co/XGXRPrci0G
i,-,"@LizSzabo Liz, sending our strength and support today and always. We encourage you to contact our Information Specialists, who can answer a wide range of questions regarding COVID-19, cancer diagnoses, treatment, and more → https://t.co/vjNe2iSCzb"
i,-,"Health Canada has just authorized the Pfizer vaccine for children 5 - 11 years old.  We're concerned, and you should be too!  So we've put together a brief document to help you make informed choices.  And we've included 3 calls to action. https://t.co/krdQg1tbQr"
p,0,"Vaccination against COVID-19 is now available to children ages 5 to 11 years old with the Pfizer vaccine. Available by appointment at our 2 mass vaccination sites, located at Décarie Square and in Parc-Ex. Appointments can be made here:  https://t.co/aP3Dbf6Etz or 514-644-4545 https://t.co/NTvLbCoibp"
p,0,"@PatBurkeNY Hey @PatBurkeNY, most people hospitalized with COVID are obese. When are you going to lose some weight?"
i,-,Pfizer Inc said on Monday its COVID-19 vaccine provided strong long-term protection against the virus in a late-stage study conducted among adolescents aged 12 to 15 years. https://t.co/t6BqWxJVVu
c,0,It’s okay to have questions about #COVID19 vaccines. Our QA has answers to frequently asked questions: https://t.co/g6nVfICrff   You can also call the Provincial Vaccine Confidence Line at 1-833-943-3900 or use the SickKids COVID-19 Vaccine Service: https://t.co/sIZCpO6w6d https://t.co/umwKwC5NGI
3,+,@pammcgugan @PharmacistMama @fordnation @celliottability @BogochIsaac There was a NACI suggestion to wait 14 days between different vaccinations “just in case” (so that side effects of one are not conflated with the other). No proven issues with concurrent vaccination. https://t.co/Nw4cL1RaQx https://t.co/SLaziXRbJx
o,0,"Your hospitals are apparently under pressure now. Perhaps your low fatality rate is caused by better treatments? “[On November 14th, 2021], the number of people being treated in hospital for Covid-19 in Denmark hit its highest level since February.” https://t.co/mk35cTRLtz https://t.co/l6PVK7qavP"
3,-,"Mitchell Field Community Centre, East Bldg, CC Main entrance in Toronto [Toronto health unit] 351 1st dose Pfizer or Moderna spots added First available date is 2021-11-23 Book at https://t.co/m7DvqKptvh See https://t.co/egCHzJUDZI for detailed availability #COVID19Vaccine #vhcON"
c,0,"JUST IN: Pfizer’s vaccine for kids 5-11 arrived in Alberta today. This makes vaccines available for another 391,000 Albertans. Bookings open tomorrow at 8 am #covid19ab @edmontonjournal"
i,-,@MaureenJanssens Fined ???  Interment Camps ??? Welded Shut in Our Homes ??? Forced Vaccination ??? Confiscation of private property ???   Children and Pets removed from the home???    A majority of Canadians have decided to be Nazis.
p,+,"Vaccination impact numbers for Manitoba, Sep 19 - Nov 13.  Data is now public, but thanks to @ScottBilleck for sharing earlier to make this possible!  Relative rates for unvaccinated ppl, adj for population:  - new cases 5.8x - hospitalizations 7.7x  #Covid19MB #covidMB https://t.co/58YpyHNIp1"
p,+,Hinshaw says those who are 12-29 have an increased risk for myocarditis for Moderna compared to Pfizer and advises those in that age group to be vaccinated with Pfizer instead. There is no ongoing risk if you are already vaccinated.
g,-,"Active cases, by vaccination status:   Not: 781 (51%) Partially: 75 (5%) Fully: 667 (44%)  In hospital:  Not: 55 (51%) Partially: 5 (5%) Fully: 47 (44%)  In ICU:  Not: 15 (79%) Partially: 0 (0%) Fully: 4 (21%)"
i,-,Mild symptoms. Once again a news headline that simultaneously trumpets the success of vaccination while also fodder for the anti-vax crowd. https://t.co/chQa1gdBIT
p,0,"Dr. Reimer says the demand for appointments in Steinbach exceeded expectations, and the province is opening up more appointments at that regional vaccination site soon.  Tells parents to check back periodically as new appointments may be added."
c,-,I have not once laughed at an American producing proof of their vaccination https://t.co/XvgqubO7No
p,0,"Hinshaw says it's hard to pick a single number for the protection we need, especially with the delta variant. Portugal has high vaccination but has seen some growth in cases. Hinshaw says we need to be very cautious, especially in winter."
p,-,I don't know who needs to hear this but Pfizer is not a charity.
i,+,@Arkfrohlich @aginnt Nobody would touch this story with a 10 foot pole despite being in the incredibly reputable British Medical Journal. They just work backwards from their conclusion that everyone on Earth needs a jab at any cost. Very convenient for Pfizer😏  https://t.co/xb9a68WH8P
p,+,"Health authorities in South Australia are racing to organise quarantine ""camps"" for Aboriginal people unable to quarantine at home. https://t.co/08DuaoMbWb"
i,+,ICYMI: Anti-vaxxers are targeting Chapman's ice cream over the company's COVID-19 vaccination policy. https://t.co/2f4VLZN9fi
p,0,@ACooperKMb @pages_and_paint @VaxHuntersCan You can see them listed here: https://t.co/sHiXEAlMtv
p,0,I'm in my mid-40s. I had a full vaccination schedule as a child. I was pregnant when I was 38 and had all of the recommended vaccinations and boosters during pregnancy. I was vaxxed for meningitis in my mid 20s. Flu shots yearly + COVID x 2. What else do I need?
i,-,"Woo-hoo!!! Child #vaccine BOOKED @uottawa vaccination site!!! #herdimmunity #ottawa #ottcity The booking system was fast, under 2 min. Lots of options."
i,0,@SusanDelacourt I really do not understand why people oppose the vaccination. I found my “polio vaccine record” from 1958. I was at McGill at the time and was vaccinated there. There was no opposition or criticism.
g,0,ICYMI: Anti-vaxxers are targeting Chapman's ice cream over the company's COVID-19 vaccination policy. https://t.co/2f4VLZN9fi
i,-,My girls are home and need to get tested for covid due to an outbreak at their school. My cat swallowed floss and the rural vet told us we were out of luck for any early intervention since the closest place that could help us was over an hr away. So I’m ready for bed and wine.😭
i,-,"@StephLaberis Hi! I also had a doozy of a time with my 2nd Moderna dose. I got my booster last week and was nervous it would knock me on my feet. I definitely didn’t feel great the next day but the fever, aches, and chills were so much more manageable. Taking Advil consistently really helped!"
g,-,@ab_vax Any reason why? They did it with the 12 years olds. My daughter got her adult sized pfizer dose and she turns 12 this month.
p,0,⁦@fordnation⁩ ⁦@jkenney⁩ ⁦@PremierScottMoe⁩ ⁦@FLegaultCAQ⁩ - here is the first of you clowns to think you have a better way of doing things. Impose the vaccine and move on! https://t.co/VCKltq8RSV
c,-,"JUST IN: Pfizer’s vaccine for kids 5-11 arrived in Alberta today. This makes vaccines available for another 391,000 Albertans. Bookings open tomorrow at 8 am #covid19ab @edmontonjournal"
p,0,Acute Psychosis Due to Anti-N-Methyl D-Aspartate Receptor Encephalitis Following COVID-19 Vaccination: A Case Report - PMC https://t.co/hhfujegl2z
o,-,"Woodbine Mall, Inside Hudson's Bay, Second level in Toronto [Toronto health unit] 384 1st dose Pfizer or Moderna spots added First available date is 2021-11-23 Book at https://t.co/m7DvqKptvh See https://t.co/egCHzJUDZI for detailed availability #COVID19Vaccine #vhcON"
o,0,What are the side effects for the Pfizer and Moderna booster shots? https://t.co/mz5Ksp974y  @DeseretNews #COVID19 #Covidiot #Covid #COVID19AB #Covid_19 #coronavirus #CoronaCapital2021 #Corona #CoronavirusUpdates #COVID19Vaccine #vaccinated #VaccineMandate #VaccineMandates #yyz
p,0,"Ford also needs to come clean about what his government knew about this alleged breach of personal data and when they knew it. On Nov 19, @ONThealth said it found no connection between the Ontario vaccination portal and fraudulent banking texts."
g,-,@thevivafrei @JustinTrudeau Here it is! 🇨🇦👍👍  https://t.co/WZINRBBttY https://t.co/DNXThddeYm
p,-,Carefirst Seniors &amp; Community Services Association in Scarborough [Toronto health unit] 192 2nd dose Pfizer or Moderna spots added First available date is 2021-11-23 Book at https://t.co/VgyebVsNcB See https://t.co/4qFA9CynGL for detailed availability #COVID19Vaccine #vhcON
p,0,What are the side effects for the Pfizer and Moderna booster shots? https://t.co/mz5Ksp974y  @DeseretNews #COVID19 #Covidiot #Covid #COVID19AB #Covid_19 #coronavirus #CoronaCapital2021 #Corona #CoronavirusUpdates #COVID19Vaccine #vaccinated #VaccineMandate #VaccineMandates #yyz
i,-,Children 5-11 will soon be able to get their first doses of the Pfizer vaccine.https://t.co/Ra9pnONlHI
p,-,"Statement from Health Minister @celliottability’s office on first day bookings of Covid vaccine for kids - 87,500 appointments through the provincial system, but doesn’t count individual public health units #onpoli https://t.co/vMYTYHWXzz"
i,0,@Verovero1981 I also find it hilarious that all my anti-capitalist friends... the occupy G20 types are all on team Pfizer. They get very uncomfortable when you call them on it.
p,+,The first vaccines for AB kids ages 5-11 will go into arms starting Friday.  You can book starting tomorrow (Nov 24) at 8am https://t.co/CfjdBPD8ho or by calling 8-1-1.  You can pre-register now. https://t.co/l2xCZzBBMe
p,0,Reposted • @ watso_ (TikTok) shares his vaccination story with the National Association of Friendship Centre's (NAFC) #TakeActionInCovid campaign.  Learn more about the COVID-19 vaccine here: https://t.co/4n81aYrP21 #urbanindigenous #covid19 #friendshipcentres https://t.co/6kze30fC33
g,0,"Metro Toronto Convention Centre, N Bldg at Front &amp; John in Toronto [Toronto health unit] 181 1st dose Pfizer or Moderna spots added First available date is 2021-11-23 Book at https://t.co/m7DvqKptvh See https://t.co/egCHzJUDZI for detailed availability #COVID19Vaccine #vhcON"
3,0,The #COVID19 viral-vector vaccine Janssen is now available at some pharmacies and medical clinics to those ages 18 and older. Individuals wishing to receive Janssen can check the updated online vaccine finder map at https://t.co/d7mWZf6vze.
o,+,"The Oakwood turns away a local MLA after she cannot produce QR Code for proof of vaccination, as required by provincial law.  @BrianneFoley7 caught up with owner, Wendy May, over what she calls the bizarre event. https://t.co/s5EQIYaYt0"
p,0,"Woodbine Mall, Inside Hudson's Bay, Second level in Toronto [Toronto health unit] 180 3rd dose Pfizer or Moderna spots added First available date is 2021-11-23 Book at https://t.co/m7DvqKptvh See https://t.co/egCHzJUDZI for detailed availability #COVID19Vaccine #vhcON"
p,-,16 and 17 year olds are now eligible for a second dose of the COVID-19 vaccine.  Find out more and book online 👇 https://t.co/JdHlgqor0z https://t.co/YupAVhZQLN
o,+,@strauss_matt @CPHO_Canada This seems like quite the change of direction in regards to forced vaccinations and vaccination those who are not at risk.  Very strange pivot.
i,-,"Manitoba says nearly 13,000 vaccine appointments for kids were booked in five hours Monday morning.  https://t.co/tM0Psw7eWI"
p,0,"Vaccination has always been mandatory for any of the eradicated diseases in the history of public health. It is not unusual for people to find an excuse, and👇🏾doesn’t surprise me at all.  https://t.co/ghmsTb8Dr6"
p,0,"""A CRAZY MESS""!! Pfizer Whistleblower SLAMS Vaccine Trials https://t.co/kXBtdN8rn4 via @YouTube"
o,-,"Hinshaw says the Pfizer vaccine is now being recommended for those 12-29 over Moderna due to a risk of myocarditis, though she is clear the risk is very low."
3,+,"@theanthropolgt @WithoutContempt @davidalexr987 @Grimmstyle1 @JustinTrudeau Which countries, and which vaccines? Ontario stopped recommending AstraZeneca before the first death from VITT was reported. Any time there’s actual risk of these types of side effects the recommendations have adjusted accordingly. We are all aware of the risks, data is public."
o,0,"@DrEricDing @ScientistSwanda I can't thank you enough for sharing this info and chart; I have wondered about it, but my 1st was the AZ vaxx, and it's not on this chart. Since my 2nd was Moderna, I suppose I should get Pfizer as my booster?"
3,-,"Soriot told BBC Radio 4's Today programme the ability of the AstraZeneca jab to stimulate a long-lasting T-cell response in older people ""could be"" the reason Britain was faring better than Europe."
c,0,@loukaywoo They don't know how long the protection from the 3rd shot will last.👇 https://t.co/c9QVRsMig1
i,-,"#Askthequestion Premier Kenney is PUSHING Vaccines on Children, Reason Being is becuase he Like his Other MLAS get PAID to By #Pfizer Who Slips 89,000$ a vaccine into Kenneys Bank Account. Other example is NSW PM, She was Caught with 89 Million in a OSC, #Bribe #ALBERTA #Kenney"
p,+,Three more provinces announce plans for COVID-19 child vaccination programs https://t.co/AnhJBshBh8 https://t.co/DvAjelu4qC
p,+,"@tylerrdawson I don't know if I care that a private owner of rental property checks vaccination status, but I thought it was amusing that there was a place that explicitly said ""no vaccinated""! But you're right, the kind of people who say housing is a right are also likely pro mandate."
g,-,Residents of First Nation in Ontario given expired Pfizer vaccine for nearly a month https://t.co/Tuk2l26NQH
i,-,TUNE-IN ALERT: Tune in to CJAD 800 at 5:00 p.m. for details from the premier and health minister on the vaccination plan for children aged 5-11 Listen live: https://t.co/Jo2QjawL8l https://t.co/wQ6SZchIN2
p,0,A children's COVID-19 vaccine is now approved in Canada. What do we know about it?   CBC News https://t.co/KiEX7cABGW
c,-,Hey @HNHealthUnit where do I get a booster shot (third vaccine) of Pfizer?  Dr office only giving Moderna.
